paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P005320,A Deep Reinforcement Learning Approach to Concurrent Bilateral Negotiation,P005320.pdf,0.0,Unknown,royal holloway and bedford new college,10005553,B,computer science and informatics,Unknown,2020
P005356,A descriptive type foundation for RDF Schema,P005356.pdf,1.0,Unknown,university of southampton,10007158,B,computer science and informatics,Out of scope for open access requirements,2016
P005439,A Directionally Selective Small Target Motion Detecting Visual Neural Network in Cluttered Backgrounds,P005439.pdf,5.0,Unknown,university of lincoln,10007151,B,computer science and informatics,Compliant,2018
P005460,A discrete firefly algorithm to solve a rich vehicle routing problem modelling a newspaper distribution system with recycling policy,P005460.pdf,53.0,Unknown,middlesex university,10004351,B,computer science and informatics,Out of scope for open access requirements,2016
P005526,A dominant social comparison heuristic unites alternative mechanisms for the evolution of indirect reciprocity,P005526.pdf,17.0,Unknown,cardiff university / prifysgol caerdydd,10007814,B,computer science and informatics,Compliant,2016
P005576,A D-vine copula mixed model for joint meta-analysis and comparison of diagnostic tests,P005576.pdf,2.0,Unknown,the university of east anglia,10007789,B,computer science and informatics,Compliant,2019
P005585,A dynamic colour perception system for autonomous robot navigation on unmarked roads,P005585.pdf,4.0,Unknown,aberystwyth university / prifysgol aberystwyth,10007856,B,computer science and informatics,Compliant,2017
P005589,A dynamic ensemble learning algorithm for neural networks,P005589.pdf,10.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2019
P005612,A Dynamic Neural Network Architecture with Immunology Inspired Optimization for Weather Data Forecasting,P005612.pdf,5.0,Unknown,leeds beckett university,10003861,B,computer science and informatics,Compliant,2018
P005634,A Dynamic-Neighborhood-Based Switching Particle Swarm Optimization Algorithm,P005634.pdf,0.0,Unknown,brunel university london,10000961,B,computer science and informatics,Compliant,2020
P005685,A Fast Analytical Model of Fully Associative Caches,P005685.pdf,1.0,Unknown,university of edinburgh,10007790,B,computer science and informatics,Unknown,2019
P005706,A Fast Single Server Private Information Retrieval Protocol with Low Communication Cost,P005706.pdf,4.0,Unknown,university of newcastle upon tyne,10007799,B,computer science and informatics,Compliant,2014
P005781,A Fleet of Miniature Cars for Experiments in Cooperative Driving,P005781.pdf,0.0,Unknown,university of cambridge,10007788,B,computer science and informatics,Unknown,2019
P005784,A flexible and generalized framework for access network selection in heterogeneous wireless networks,P005784.pdf,10.0,Unknown,liverpool john moores university,10003957,B,computer science and informatics,Not compliant,2017
P005785,A Flexible and Generalized Framework for Access Network Selection in Heterogeneous Wireless Networks,P005785.pdf,10.0,Unknown,university of hertfordshire,10007147,B,computer science and informatics,Technical exception,2017
P005812,A fog caching scheme enabled by ICN for IoT environments,P005812.pdf,0.0,Unknown,loughborough university,10004113,B,computer science and informatics,Compliant,2020
P005822,A Formal Account of the Open Provenance Model,P005822.pdf,6.0,Unknown,king's college london,10003645,B,computer science and informatics,Out of scope for open access requirements,2015
P005823,A formal analysis of 5g authentication,P005823.pdf,38.0,Unknown,heriot-watt university,10007764,B,computer science and informatics,Unknown,2018
P005824,A Formal Analysis of 5G Authentication,P005824.pdf,38.0,Unknown,university of dundee,10007852,B,computer science and informatics,Unknown,2018
P005826,A formal approach to analyzing cyber-forensics evidence,P005826.pdf,1.0,Unknown,university of southampton,10007158,B,computer science and informatics,Technical exception,2018
P005875,A Framework for Automatic Morphological Feature Extraction and Analysis of Abdominal Organs in MRI Volumes,P005875.pdf,0.0,Springer,the university of westminster,10007165,B,computer science and informatics,Compliant,2019
P005880,A framework for cloud-based context-aware information services for citizens in smart cities,P005880.pdf,28.0,Unknown,"university of the west of england, bristol",10007164,B,computer science and informatics,Out of scope for open access requirements,2014
P005885,A framework for constraint based local search using ESSENCE,P005885.pdf,0.0,Unknown,university of st andrews,10007803,B,computer science and informatics,Unknown,2018
P005888,A Framework for Creative Visualization-Opportunities Workshops,P005888.pdf,5.0,Unknown,"city, university of london",10001478,B,computer science and informatics,Compliant,2018
P005915,A framework for plasticity implementation on the SpiNNaker neural architecture,P005915.pdf,34.0,Unknown,the university of manchester,10007798,B,computer science and informatics,Out of scope for open access requirements,2015
P005920,A Framework for the Automatic Formal Verification of Refinement from Cogent to C,P005920.pdf,2.0,Unknown,university of edinburgh,10007790,B,computer science and informatics,Deposit exception,2016
P005981,A Functional Regression Approach to Facial Landmark Tracking,P005981.pdf,10.0,Unknown,"university of nottingham, the",10007154,B,computer science and informatics,Compliant,2018
P005991,A fused deep learning architecture for viewpoint classification of echocardiography,P005991.pdf,44.0,Unknown,middlesex university,10004351,B,computer science and informatics,Not compliant,2016
P006006,"A fuzzy neural network based dynamic data allocation
model on heterogeneous multi-GPUs for large-scale
computations",P006006.pdf,4.0,Unknown,sheffield hallam university,10005790,B,computer science and informatics,Compliant,2018
P006021,A game-based approximate verification of deep neural networks with provable guarantees,P006021.pdf,7.0,Unknown,university of exeter,10007792,B,computer science and informatics,Technical exception,2020
P006022,A Game-Based Approximate Verification of Deep Neural Networks with Provable Guarantees,P006022.pdf,7.0,Unknown,the university of liverpool,10006842,B,computer science and informatics,Compliant,2019
P006027,A Gamification Model to Encourage Positive Healthcare Behaviours in Young People with Long Term Conditions,P006027.pdf,0.0,Unknown,birmingham city university,10007140,B,computer science and informatics,Out of scope for open access requirements,2014
P006031,A gaze independent brain-computer interface based on visual stimulation through closed eyelids,P006031.pdf,14.0,Unknown,cardiff university / prifysgol caerdydd,10007814,B,computer science and informatics,Out of scope for open access requirements,2015
P006061,A general centrality framework based on node navigability,P006061.pdf,1.0,IEEE,birkbeck college,10007760,B,computer science and informatics,Compliant,2019
